Proton-Vanilla Config Options | Valve,,,
,,,
,,,
mlfg,PROTON_MLFG_UPGRADE,"Enables the use of MLFG when amdxcffx64.dll >= 4.0.3. This option is enabled automatically with PROTON_FSR4_UPGRADE and PROTON_FSR4_RDNA3_UPGRADE. If you need to disable it while still using the FSR4 upgrade options, you can add PROTON_MLFG_UPRADE=0.","AMD, common"
fsr3,PROTON_FSR3_UPGRADE,,"AMD, experimental"
dlss,PROTON_DLSS_UPGRADE,"Automatically download and use newer versions of nvngx_dlss(d|g).dll DLLs. Version to download can be specified by supplying it as a value, like so PROTON_DLSS_UPGRADE=""310.2"", instead of 1, to download version 310.2.1.0. This option also sets DXVK_NVAPI_DRS_SETTINGS to use the latest preset. If you provide your own configuration through this environment variable, your configuration will override the defaults.","NVIDIA, common, recommended"
dlsshud,PROTON_DLSS_INDICATOR,Enable the DLSS overlay at the bottom left portion of the screen.,"NVIDIA, debugging"
xess,PROTON_XESS_UPGRADE,,"Intel, common, recommended"
nvidialibs,PROTON_NVIDIA_LIBS,"Enable alternative implementations of Nvidia libraries missing from Proton. Allows things like hardware-accelerated PhysX to function. This option enables all of nvcuda, nvenc, nvml and nvoptix. These are incompatible with wow64 and thus disabled when PROTON_USE_WOW64=1 is set.",NVIDIA
nvidialibsno32,PROTON_NVIDIA_LIBS_NO_32BIT,"Use with the previous option, to enable only the 64bit nvidia libraries. Useful if you are using RTX series 4000 or 5000 GPUs and you had bad performance or crashes when enabling these with 32bit games.",NVIDIA
nvcuda,PROTON_NVIDIA_NVCUDA,Enable alternative nvcuda.dll from nvidial-libs only.,NVIDIA
nvenc,PROTON_NVIDIA_NVENC,Enable alternative nvcencodeapi(64).dll from nvidial-libs only.,NVIDIA
nvml,PROTON_NVIDIA_NVML,Enable alternative nvml.dll from nvidial-libs only. This option is enabled by default.,NVIDIA
nvoptix,PROTON_NVIDIA_NVOPTIX,Enable alternative nvoptix.dll from nvidial-libs only.,NVIDIA
vkreflex,PROTON_VKREFLEX,"Enables DXVK-NVAPI's Vulkan Reflex layer to support Reflex in Vulkan games. It's meant to enable Reflex in games such as Portal RTX, Path of Exile 1 and 2 and Doom TDA, etc.",NVIDIA
mediaconv,PROTON_ENABLE_MEDIACONV,"For debugging purposes, do not use.",debugging
,PROTON_MEDIA_USE_GST,Fixes video/audio playback in cutscenes in some cases.,debugging
